ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
RNA,Ulawa Airport;Arona#Solomon Islands!Oceania
SSR,Sara Airport;Arongbwaratu#Vanuatu!Oceania
AIS,Arorae Island Airport;Arorae Island#Kiribati!Oceania
AAB,Arrabury Airport;Arrabury#Australia!Oceania
AAI,Arraias Airport;Arraias#Brazil!South America
ARJ,Arso Airport;Arso#Indonesia!Asia
JRK,Arsuk Airport;Arsuk#Greenland!North America
ATS,Artesia Airport;Artesia#United States!North America
ATC,Arthur's Town Airport;Arthur's Town#Bahamas!Caribbean
ATI,Artigas Airport;Artigas#Uruguay!South America
RUA,Arua Airport;Arua#Uganda!Africa
AUA,Reina Beatrix International Airport;Aruba#Aruba!Caribbean
ARK,Arusha Airport;Arusha#United Republic of Tanzania!Africa
AXR,Arutua Airport;Arutua#French Polynesia!Oceania
AVK,Arvaikheer Airport;Arvaikheer#Mongolia!Asia
YEK,Arviat Airport;Arviat#Canada!North America
AJR,Arvidsjaur Airport;Arvidsjaur#Sweden!Europe
YIE,Arxan Yiershi Airport;Arxan#China!Asia
ABB,Asaba International Airport;Asaba#Nigeria!Africa
AKJ,Asahikawa Airport;Asahikawa#Japan!Asia
AOY,Asaloyeh Airport;Asaloyeh#Iran!Asia
APP,Asapa Airport;Asapa#Papua New Guinea!Asia
AAU,Asau Airport;Asau#Samoa!Oceania
YAF,Asbestos Hill Airport;Asbestos Hill#Canada!North America
ARX,Asbury Park Airport;Asbury Park#United States!North America
ASC,Ascension Airport;Ascension#Bolivia!South America
ACO,Ascona Airport;Ascona#Switzerland!Europe
AEK,Aseki Airport;Aseki#Papua New Guinea!Asia
ALK,Asela Airport;Asela#Ethiopia!Africa
ASG,Ashburton Airport;Ashburton#New Zealand!Oceania
YZA,Ashcroft Airport;Ashcroft#Canada!North America
AVL,Asheville Regional Airport;Asheville#United States!North America
ASB,Ashgabat Airport;Ashgabat#Turkmenistan!Asia
ASX,Ashland Airport;Ashland#United States!North America
ASY,Ashley Airport;Ashley#United States!North America
ASZ,Asirim Airport;Asirim#Papua New Guinea!Asia
ASM,Asmara International Airport;Asmara#Eritrea!Africa
ASO,Asosa Airport;Asosa#Ethiopia!Africa
ASE,Aspen Airport;Aspen#United States!North America
ASA,Assab Airport;Assab#Eritrea!Africa
AIF,Assis Airport;Assis#Brazil!South America
ATZ,Assiut Airport;Assiut#Egypt!Middle East
TSE,Astana International Airport;Astana#Kazakhstan!Asia
AST,Astoria Airport;Astoria#United States!North America
ASF,Astrakhan Airport;Astrakhan#Russian Federation!Europe
AKQ,Gunung Batin Airport;Astraksetra#Indonesia!Asia
