ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
TYP,Tobermorey Airport;Tobermorey#Australia!Oceania
TOX,Tobolsk Airport;Tobolsk#Russian Federation!Europe
TOB,Tobruk Airport;Tobruk#Libya!Africa
TOC,Toccoa Airport;Toccoa#United States!North America
TCF,Tocoa Airport;Tocoa#Honduras!Central America
TOQ,Barriles Airport;Tocopilla#Chile!South America
TCW,Tocumwal Airport;Tocumwal#Australia!Oceania
YTP,Tofino Sea Plane Base;Tofino#Canada!North America
YAZ,Tofino Long Beach Airport;Tofino#Canada!North America
GFB,Togiak Fishery Airport;Togiak Fishery#United States!North America
TOG,Togiak Village Airport;Togiak Village#United States!North America
TKJ,Tok Airport;Tok#United States!North America
TJK,Tokat Airport;Tokat#Turkey!Europe
TKI,Tokeen Airport;Tokeen#United States!North America
TKZ,Tokoroa Airfield;Tokoroa#New Zealand!Oceania
OOK,Toksook Bay Airport;Toksook Bay#United States!North America
TKN,Tokunoshima Airport;Tokunoshima#Japan!Asia
TKS,Tokushima Awaodori Airport;Tokushima#Japan!Asia
HND,Haneda Airport;Tokyo#Japan!Asia
NRT,Narita International Airport;Tokyo#Japan!Asia
OKO,Yokota Air Force Base;Tokyo#Japan!Asia
TLO,Tol Airport;Tol#Papua New Guinea!Asia
TOL,Toledo Express Airport;Toledo#United States!North America
TDO,Winlock Airport;Toledo#United States!North America
TDZ,Toledo Executive Airport;Toledo#United States!North America
TOW,Toledo Airport;Toledo#Brazil!South America
TLI,Sultan Bantilan Airport;Toli Toli#Indonesia!Asia
TLE,Toliara Airport;Toliara#Madagascar!Africa
TLU,Tolu Airport;Tolu#Colombia!South America
TLC,Toluca International Airport;Toluca#Mexico!North America
TPR,Tom Price Airport;Tom Price#Australia!Oceania
TMG,Tomanggong Airport;Tomanggong#Malaysia!Asia
TOM,Tombouctou Airport;Tombouctou#Mali!Africa
MJX,Robert J. Miller Air Park;Toms River#United States!North America
TOF,Tomsk Airport;Tomsk#Russian Federation!Europe
TGO,Tongliao Airport;Tongliao#China!Asia
TGH,Tongoa Airport;Tongoa#Vanuatu!Oceania
TEN,Tongren Airport;Tongren#China!Asia
XSD,Tonopah Test Range Airport;Tonopah#United States!North America
TPH,Tonopah Airport;Tonopah#United States!North America
TON,Tonu Airport;Tonu#Papua New Guinea!Asia
TWB,Toowoomba Airport;Toowoomba#Australia!Oceania
TOP,Philip Billard Municipal Airport;Topeka#United States!North America
FOE,Forbes Field;Topeka#United States!North America
TCJ,Torembi Airport;Torembi#Papua New Guinea!Asia
TOK,Torokina Airport;Torokina#Papua New Guinea!Asia
YYZ,Pearson International Airport;Toronto#Canada!North America
YKZ,Buttonville Municipal Airport;Toronto#Canada!North America
YTZ,Toronto City Centre Airport;Toronto#Canada!North America
TRY,Tororo Airport;Tororo#Uganda!Africa
TOA,Zamperini Field;Torrance#United States!North America
TRC,Francisco Sarabia International Airport;Torreon#Mexico!North America
TSQ,Torres Airport;Torres#Brazil!South America
TOH,Torres Airstrip;Torres#Vanuatu!Oceania
TOR,Torrington Municipal Airport;Torrington#United States!North America
TYF,Torsby Airport;Torsby#Sweden!Europe
RAD,Road Town Seaplane Base;Tortola#British Virgin Islands!Caribbean
TOV,West End Sea Plane Base;Tortola#British Virgin Islands!Caribbean
TTB,Arbatax Airport;Tortoli#Italy!Europe
TTQ,Tortuquero Airport;Tortuquero#Costa Rica!Central America
TWP,Torwood Airport;Torwood#Australia!Oceania
TNZ,Tosontsengel Airport;Tosontsengel#Mongolia!Asia
TOT,Coronie Airport;Totness#Suriname!South America
TTK,Tottenham Hale Station;Tottenham Hale Station#United Kingdom!Europe
TTJ,Tottori Airport;Tottori#Japan!Asia
TOZ,Touba Airport;Touba#Cote d'Ivoire!Africa
TUQ,Tougan Airport;Tougan#Burkina Faso!Africa
TGR,Touggourt Airport;Touggourt#Algeria!Africa
TOU,Touho Airport;Touho#New Caledonia!Oceania
TLN,Hyeres Airport;Toulon#France!Europe
XYT,Montaudran Airport;Toulouse#France!Europe
TLS,Blagnac Airport;Toulouse#France!Europe
ELT,Tour Sinai City Airport;Tour Sinai City#Egypt!Middle East
TUF,Val de Loire Airport;Tours#France!Europe
TNF,Toussus-le-Noble Airport;Toussus-le-Noble#France!Europe
TSV,Townsville Airport;Townsville#Australia!Oceania
TOY,Toyama Airport;Toyama#Japan!Asia
TJH,Tajima Airport;Toyooka#Japan!Asia
TOE,Tozeur Airport;Tozeur#Tunisia!Africa
TZX,Trabzon Airport;Trabzon#Turkey!Europe
YZZ,Trail;Trail#Canada!North America
TST,Trang Airport;Trang#Thailand!Asia
TPS,Trapani-Birgi Airport;Trapani#Italy!Europe
TGN,La Trobe Regional Airport;Traralgon#Australia!Oceania
YON,Yongphulla Airport;Trashigang#Bhutan!Asia
TDX,Trat Airport;Trat#Thailand!Asia
TVC,Cherry Capital Airport;Traverse City#United States!North America
TCB,Treasure Cay Airport;Treasure Cay#Bahamas!Caribbean
TYT,Treinta-y-Tres Airport;Treinta-y-Tres#Uruguay!South America
REL,Trelew Airport;Trelew#Argentina!South America
TRT,Tremonton Airport;Tremonton#United States!North America
YTR,Trenton Airport;Trenton#Canada!North America
TRX,Trenton Memorial Airport;Trenton#United States!North America
TTN,Trenton-Mercer Airport;Trenton#United States!North America
WRI,McGuire Air Force Base;Trenton#United States!North America
TQP,Trepell Airport;Trepell#Australia!Oceania
OYO,Tres Arroyos Airport;Tres Arroyos#Argentina!South America
QID,Mello Viana;Tres Coracoes#Brazil!South America
TQS,Tres Esquinas Airport;Tres Esquinas#Colombia!South America
TJL,Tres Lagoas Airport;Tres Lagoas#Brazil!South America
TRS,Trieste â€“ Friuli Venezia Giulia Airport;Trieste#Italy!Europe
THW,Trincomalee Harbour Seaplane Base;Trincomalee#Sri Lanka!Asia
TRR,China Bay Airport;Trincomalee#Sri Lanka!Asia
TDD,Teniente Jorge Henrich Arauz Airport;Trinidad#Bolivia!South America
TDA,Trinidad Airport;Trinidad#Colombia!South America
TND,Trinidad Airport;Trinidad#Cuba!Caribbean
TAD,Perry Stokes Municipal Airport;Trinidad#United States!North America
KYE,Kleyate Airport;Tripoli#Lebanon!Middle East
TIP,Tripoli International Airport;Tripoli#Libya!Africa
YRQ,Trois-Rivieres Airport;Trois-Rivieres#Canada!North America
THN,Trollhattan Airport;Trollhattan#Sweden!Europe
TMT,Trombetas Airport;Trombetas#Brazil!South America
TOS,Tromso/Langnes Airport;Tromso#Norway!Europe
TRH,Trona Airport;Trona#United States!North America
TRD,Trondheim Airport Vaernes;Trondheim#Norway!Europe
TTD,Troutdale Airport;Troutdale#United States!North America
TOI,Troy Municipal Airport;Troy#United States!North America
TKF,Truckee Tahoe Airport;Truckee#United States!North America
TJI,Capiro Airport;Trujillo#Honduras!Central America
TRU,Trujillo Airport;Trujillo#Peru!South America
TKK,Chuuk International Airport;Truk, Caroline Islands#Micronesia!Oceania
TCS,Truth Or Consequences Municipal Airport;Truth Or Consequences#United States!North America
TBY,Tsabong Airport;Tsabong#Botswana!Africa
TTS,Tsaratanana Airport;Tsaratanana#Madagascar!Africa
TSZ,Tsetserleg Airport;Tsetserleg#Mongolia!Asia
TSW,Tsewi Airport;Tsewi#Papua New Guinea!Asia
TSH,Tshikapa Airport;Tshikapa#The Democratic Republic of The Congo!Africa
TSD,Tshipise Airport;Tshipise#South Africa!Africa
TSI,Tsili Tsili Airport;Tsili Tsili#Papua New Guinea!Asia
WTS,Tsiroanomandidy Airport;Tsiroanomandidy#Madagascar!Africa
TSB,Tsumeb Airport;Tsumeb#Namibia!Africa
TSJ,Tsushima Airport;Tsushima#Japan!Asia
TBC,Tuba City Airport;Tuba City#United States!North America
TUW,Tubala Airport;Tubala#Panama!Central America
TUB,Tubuai Island Airport;Tubuai Island#French Polynesia!Oceania
TUS,Tucson International Airport;Tucson#United States!North America
DMA,Davis Monthan Air Force Base;Tucson#United States!North America
AVW,Avra Valley Airport;Tucson#United States!North America
TUZ,Tucuma Airport;Tucuma#Brazil!South America
TUC,Teniente Benjamin Matienzo Airport;Tucuman#Argentina!South America
TCC,Tucumcari Airport;Tucumcari#United States!North America
TUV,Tucupita Airport;Tucupita#Venezuela!South America
TUR,Tucurui Airport;Tucurui#Brazil!South America
TFI,Tufi Airport;Tufi#Papua New Guinea!Asia
TUG,Tuguegarao Airport;Tuguegarao#Philippines!Asia
YUB,Tuktoyaktuk Airport;Tuktoyaktuk#Canada!North America
TYA,Tula Airport;Tula#Russian Federation!Europe
TLG,Tulaghi Airport;Tulaghi#Solomon Islands!Oceania
TLR,Tulare Airport;Tulare#United States!North America
TUA,Tulcan Airport;Tulcan#Ecuador!South America
TCE,Tulcea Airport;Tulcea#Romania!Europe
TLD,Limpopo Valley Airfield;Tuli Block#Botswana!Africa
ZFN,Tulita Airport;Tulita/Fort Norman#Canada!North America
TUH,Arnold Air Force Base;Tullahoma#United States!North America
AYX,Arnold Afb;Tullahoma#United States!North America
THA,Northern Airport;Tullahoma#United States!North America
TUL,Tulsa International Airport;Tulsa#United States!North America
RVS,Richard Lloyd Jones Jr Airport;Tulsa#United States!North America
ULQ,Farfan Airport;Tulua#Colombia!South America
YTK,Tulugak Airport;Tulugak#Canada!North America
TLT,Tuluksak Airport;Tuluksak#United States!North America
TUY,Tulum Airport;Tulum#Mexico!North America
TCO,La Florida Airport;Tumaco#Colombia!South America
TBM,Tumbang Samba Airport;Tumbang Samba#Indonesia!Asia
TBP,Capitan FAP Pedro Canga Rodriguez Airport;Tumbes#Peru!South America
TUX,Tumbler Ridge Airport;Tumbler Ridge#Canada!North America
TMO,Tumeremo Airport;Tumeremo#Venezuela!South America
TMI,Tumling Tar Airport;Tumling Tar#Nepal!Asia
TLP,Tumolbil Airport;Tumolbil#Papua New Guinea!Asia
TUM,Tumut Airport;Tumut#Australia!Oceania
TNS,Tungsten Airport;Tungsten#Canada!North America
UTM,Tunica Municipal Airport;Tunica#United States!North America
TUN,Tunisâ€“Carthage International Airport;Tunis#Tunisia!Africa
WTL,Tuntutuliak Airport;Tuntutuliak#United States!North America
TNK,Tununak Airport;Tununak#United States!North America
TXN,Tunxi Airport;Tunxi#China!Asia
TPX,Tupai Airport;Tupai#French Polynesia!Oceania
TUP,Lemons Municipal Airport;Tupelo#United States!North America
TUE,Tupile Airport;Tupile#Panama!Central America
TUI,Turaif Airport;Turaif#Saudi Arabia!Middle East
TUK,Turbat Airport;Turbat#Pakistan!Asia
TRB,Gonzalo Airport;Turbo#Colombia!South America
ZTA,Tureira Airport;Tureira#French Polynesia!Oceania
TRN,Turin Airport;Turin#Italy!Europe
TKY,Turkey Creek Airport;Turkey Creek#Australia!Oceania
KRW,Turkmanbashi Airport;Turkmanbashi#Turkmenistan!Asia
CRZ,Turkmenabad Airport;Turkmenabad#Turkmenistan!Asia
TKU,Turku Airport;Turku#Finland!Europe
TLQ,Turpan Jiaohe Airport;Turpan#China!Asia
TTL,Turtle Island Airport;Turtle Island#Fiji!Oceania
THX,Turukhansk Airport;Turukhansk#Russian Federation!Europe
TCL,Tuscaloosa Regional Airport;Tuscaloosa#United States!North America
TGE,Sharpe Field;Tuskegee#United States!North America
TCR,Tuticorin Airport;Tuticorin#India!Asia
WNC,Nakuati Bay Seaplane Base;Tuxekan Island#United States!North America
TGZ,Angel Albino Corzo International Airport;Tuxtla Gutierrez#Mexico!North America
TBB,Tuy Hoa Airport;Tuy Hoa#Viet Nam!Asia
TZL,Tuzla International Airport;Tuzla#Bosnia and Herzegovina!Europe
TNP,Twentynine Palms Airport;Twentynine Palms#United States!North America
TWF,Magic Valley Regional Airport;Twin Falls#United States!North America
TWA,Twin Hills Airport;Twin Hills#United States!North America
TYR,Tyler Pounds Regional Airport;Tyler#United States!North America
ZZO,Zonalnoye Airport;Tymovskoye#Russian Federation!Europe
TYD,Tynda Airport;Tynda#Russian Federation!Europe
TYE,Tyonek Airport;Tyonek#United States!North America
TJM,Roshchino International Airport;Tyumen#Russian Federation!Europe
LTA,Letaba Airport;Tzaneen#South Africa!Africa
UAH,Ua Huka Airport;Ua Huka#French Polynesia!Oceania
UAP,Ua Pou Airport;Ua Pou, Marquesas Island#French Polynesia!Oceania
UAX,Uaxactun Airport;Uaxactun#Guatemala!Central America
QUB,Ubari Airport;Ubari#Libya!Africa
UBT,Ubatuba Airport;Ubatuba#Brazil!South America
UBJ,Yamaguchi Ube Airport;Ube#Japan!Asia
UBA,Uberaba Airport;Uberaba#Brazil!South America
UDI,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport;Uberlandia#Brazil!South America
UBP,Ubon Ratchathani International Airport;Ubon Ratchathani#Thailand!Asia
UBR,Ubrub, Irian Jaya Airport;Ubrub, Irian Jaya#Indonesia!Asia
UDR,Maharana Pratap Airport;Udaipur#India!Asia
UDE,Volkel Airport;Uden#Netherlands!Europe
UDN,Udine Airfield;Udine#Italy!Europe
UDO,Udomxay Airport;Udomxay#Lao People's Democratic Republic!Asia
UTH,Udon Thani International Airport;Udon Thani#Thailand!Asia
QSM,Uetersen Airport;Uetersen#Germany!Europe
UFA,Ufa International Airport;Ufa#Russian Federation!Europe
UGI,Uganik Airport;Uganik#United States!North America
UGS,Ugashik Airport;Ugashik#United States!North America
UHE,Uherske Hradiste Airport;Uherske Hradiste#Czech Republic!Europe
UGO,Uige Airport;Uige#Angola!Africa
UJE,Ujae Island Airport;Ujae Island#Marshall Islands!Oceania
UPG,Sultan Hasanuddin International Airport;Ujung Pandang#Indonesia!Asia
UCT,Ukhta Airport;Ukhta#Russian Federation!Europe
UKI,Ukiah Municipal Airport;Ukiah#United States!North America
JUK,Ukkusissat Heliport;Ukkusissat#Greenland!North America
UKA,Ukunda Airport;Ukunda#Kenya!Africa
ULN,Chinggis Khaan International Airport;Ulaanbaatar#Mongolia!Asia
ULO,Ulaangom Airport;Ulaangom#Mongolia!Asia
HLH,Ulanhot Airport;Ulanhot#China!Asia
UUD,Ulan-Ude Airport;Ulan-Ude#Russian Federation!Europe
ULB,Ulei Airport;Ulei#Vanuatu!Oceania
ULG,Olgii Airport;Ulgit#Mongolia!Asia
ULZ,Uliastai Airport;Uliastai#Mongolia!Asia
ULI,Ulithi Airport;Ulithi, Caroline Islands#Micronesia!Oceania
USN,Ulsan Airport;Ulsan#Republic of Korea!Asia
ULD,Prince Mangosuthu Buthelezi Airport;Ulundi#South Africa!Africa
ULX,Ulusaba Airport;Ulusaba#South Africa!Africa
ULY,Ulyanovsk Vostochny Airport;Ulyanovsk#Russian Federation!Europe
UMC,Umba Airport;Umba#Papua New Guinea!Asia
UME,Umea Airport;Umea#Sweden!Europe
UMT,Umiat Airport;Umiat#United States!North America
YUD,Umiujaq Airport;Umiujaq#Canada!North America
UMB,North Shore Airport;Umnak Island#United States!North America
UNS,Umnak Island Airport;Umnak Island#United States!North America
UGT,Umnugobitour Airport;Umnugobitour#Mongolia!Asia
SHL,Shillong Airport;Umroi#India!Asia
UTT,Umtata Airport;Umtata#South Africa!Africa
UMU,Ernesto Geisel Airport;Umuarama#Brazil!South America
UNA,Una Airport;Una#Brazil!South America
UNK,Unalakleet Airport;Unalakleet#United States!North America
UZH,Unayzah Airport;Unayzah#Saudi Arabia!Middle East
UDA,Undarra Airport;Undarra#Australia!Oceania
UNR,Underkhaan Airport;Underkhaan#Mongolia!Asia
UNC,Unguia Airport;Unguia#Colombia!South America
QVB,Uniao Da Vitoria;Uniao Da Vitoria#Brazil!South America
UCY,Everett-Stewart Airport;Union City#United States!North America
UNI,Union Island Airport;Union Island#Saint Vincent and the Grenadines!Caribbean
UPL,Upala Airport;Upala#Costa Rica!Central America
UPV,Upavon Airport;Upavon#United Kingdom!Europe
JUV,Upernavik Airport;Upernavik#Greenland!North America
UPK,Upernavik Kujalleq Heliport;Upernavik Kujalleq#Greenland!North America
UPR,Upiara Airport;Upiara#Papua New Guinea!Asia
UTN,Upington Airport;Upington#South Africa!Africa
CCB,Cable Airport;Upland#United States!North America
JUP,Cable Heliport;Upland#United States!North America
UPP,Upolu Point Airport;Upolu Point#United States!North America
UHF,Upper Heyford RAF Station;Upper Heyford#United Kingdom!Europe
URJ,Uraj Airport;Uraj#Russian Federation!Europe
URA,Uralsk Airport;Uralsk#Kazakhstan!Asia
YBE,Uranium City Airport;Uranium City#Canada!North America
UGC,Urgench Airport;Urgench#Uzbekistan!Asia
URN,Urgoon Airport;Urgoon#Afghanistan!Asia
URI,Uribe Airport;Uribe#Colombia!South America
URM,Uriman Airport;Uriman#Venezuela!South America
URU,Oro Province Airport;Uroubi#Papua New Guinea!Asia
URR,Urrao Airport;Urrao#Colombia!South America
UPN,Licenciado y General Ignacio Lopez Rayon Airport;Uruapan#Mexico!North America
URB,Ernesto Pochler Airport;Urubupunga#Brazil!South America
URG,Ruben Berta Airport;Uruguaiana#Brazil!South America
URC,Urumqi Airport;Urumqi#China!Asia
URZ,Uruzgan Airport;Uruzgan#Afghanistan!Asia
UZR,Urzhar Airport;Urzhar#Kazakhstan!Asia
USQ,Usak Airport;Usak#Turkey!Europe
USL,Useless Loop Airport;Useless Loop#Australia!Oceania
USH,Malvinas Argentinas International Airport;Ushuaia#Argentina!South America
USO,Usino Airport;Usino#Papua New Guinea!Asia
USK,Usinsk Airport;Usinsk#Russian Federation!Europe
UIK,Ust-Ilimsk Airport;Ust-Ilimsk#Russian Federation!Europe
UKK,Ust-Kamenogorsk Airport;Ust-Kamenogorsk#Kazakhstan!Asia
UKX,Ust-Kut Airport;Ust-Kut#Russian Federation!Europe
UKG,Ust-Kuyga Airport;Ust-Kuyga#Russian Federation!Europe
UMS,Ust-Maya Airport;Ust-Maya#Russian Federation!Europe
USR,Ust-Nera Airport;Ust-Nera#Russian Federation!Europe
UTS,Ust-Tsylma Airport;Ust-Tsylma#Russian Federation!Europe
UTU,Ustupo Airport;Ustupo#Panama!Central America
OGM,Ogobsucum Airport;Ustupu Island#Panama!Central America
UTP,Utapao Airport;Utapao#Thailand!Asia
UIZ,Berz-Macomb Airport;Utica#United States!North America
UCA,Oneida County Airport;Utica#United States!North America
UII,Utila Airport;Utila#Honduras!Central America
UTK,Utirik Island Airport;Utirik Island#Marshall Islands!Oceania
UTO,Indian Mountain Air Force Station;Utopia Creek#United States!North America
UTC,Soesterberg Airport;Utrecht#Netherlands!Europe
QUT,Utsunomiya Aero;Utsunomiya#Japan!Asia
UTR,Uttaradit Airport;Uttaradit#Thailand!Asia
UMD,Umanak Airport;Uummannaq#Greenland!North America
UVA,Garner Field;Uvalde#United States!North America
UVO,Uvol Airport;Uvol#Papua New Guinea!Asia
QUO,Akwa Ibom Airport;Uyo#Nigeria!Africa
UYU,Uyuni Airport;Uyuni#Bolivia!South America
UDJ,Uzhhorod International Airport;Uzhgorod#Ukraine!Europe
UZC,Ponikve Airport;Uzice#Republic of Serbia!Europe
VAA,Vaasa Airport;Vaasa#Finland!Europe
BDQ,Vadodara Airport;Vadodara#India!Asia
VDS,Vadso Airport;Vadso#Norway!Europe
VRY,Stolport Airport;Vaeroy#Norway!Europe
VHZ,Vahitahi Airport;Vahitahi#French Polynesia!Oceania
EGE,Eagle County Airport;Vail#United States!North America
VAZ,Val D'Isere Airport;Val D'Isere#France!Europe
YVO,Val-d'Or Airport;Val D'Or#Canada!North America
YOY,Valcartier Airport;Valcartier#Canada!North America
VCF,Valcheta Airport;Valcheta#Argentina!South America
VDZ,Valdez Municipal Airport;Valdez#United States!North America
ZAL,Pichoy Airport;Valdivia#Chile!South America
VLD,Valdosta Regional Airport;Valdosta#United States!North America
VAD,Moody Air Force Base;Valdosta#United States!North America
VAL,Valenca Airport;Valenca#Brazil!South America
VAF,Chabeuil Airport;Valence#France!Europe
VLC,Valencia Airport;Valencia#Spain and Canary Islands!Europe
VLN,Arturo Michelena International Airport;Valencia#Venezuela!South America
VTN,Miller Field;Valentine#United States!North America
VLV,Colonel Antonio Nicolas Briceno Airport;Valera#Venezuela!South America
VLS,Valesdir Airport;Valesdir#Vanuatu!Oceania
VLL,Valladolid Airport;Valladolid#Spain and Canary Islands!Europe
VLE,J. T. Robidoux Airport;Valle#United States!North America
VDP,Valle de la Pascua Airport;Valle de la Pascua#Venezuela!South America
VUP,Valledupar Airport;Valledupar#Colombia!South America
VAH,Vallegrande Airport;Vallegrande#Bolivia!South America
VLO,Stolport Airport;Vallejo#United States!North America
VMI,Vallemi Airport;Vallemi#Paraguay!South America
VLR,Vallenar Airport;Vallenar#Chile!South America
VLY,Royal Air Force Station Valley;Valley#United Kingdom!Europe
VAP,Valparaiso Airport;Valparaiso#Chile!South America
VPZ,Porter County Regional Airport;Valparaiso#United States!North America
EGI,Duke Field;Valparaiso#United States!North America
VDE,Hierro Airport;Valverde#Spain and Canary Islands!Europe
VAN,Van Ferit Melen Airport;Van#Turkey!Europe
VHN,Culberson County Airport;Van Horn#United States!North America
YDT,Boundary Bay Airport;Vancouver#Canada!North America
YVR,Vancouver International Airport;Vancouver#Canada!North America
CXH,Coal Harbour Sea Plane Base;Vancouver#Canada!North America
VLA,Vandalia Airport;Vandalia#United States!North America
VND,Vangaindrano Airport;Vangaindrano#Madagascar!Africa
VAI,Vanimo Airport;Vanimo#Papua New Guinea!Asia
VNE,Meucon Airport;Vannes#France!Europe
VNR,Vanrook Airport;Vanrook#Australia!Oceania
VBV,Vanua Balavu Airport;Vanuabalavu#Fiji!Oceania
VRA,Juan Gualberto Gomez Airport;Varadero#Cuba!Caribbean
VNS,Lal Bahadur Shastri International Airport;Varanasi#India!Asia
VAW,Vardoe Airport;Vardoe#Norway!Europe
VAG,Major-Brigadeiro Trompowsky Airport;Varginha#Brazil!South America
VRK,Varkaus Airport;Varkaus#Finland!Europe
VAR,Varna Airport;Varna#Bulgaria!Europe
VAC,Varrelbusch Airport;Varrelbusch#Germany!Europe
VVK,Vastervik Airport;Vastervik#Sweden!Europe
VAT,Vatomandry Airport;Vatomandry#Madagascar!Africa
VAU,Vatukoula Airport;Vatukoula#Fiji!Oceania
VTF,Vatulele Airport;Vatulele#Fiji!Oceania
VAV,Lupepau'u Airport;Vava'u#Tonga!Oceania
VXO,Vaxjo Airport;Vaxjo#Sweden!Europe
VEJ,Vejle Airport;Vejle#Denmark!Europe
VUS,Velikij Ustyug Airport;Velikij Ustyug#Russian Federation!Europe
VLU,Velikiye Luki Airport;Velikiye Luki#Russian Federation!Europe
VEE,Venetie Airport;Venetie#United States!North America
VCE,Venice Marco Polo Airport;Venice#Italy!Europe
TSF,Treviso Airport;Venice#Italy!Europe
VNC,Venice Municipal Airport;Venice#United States!North America
VER,Veracruz International Airport;Veracruz#Mexico!North America
VHV,Verkhnevilyuysk Airport;Verkhnevilyuysk#Russian Federation!Europe
YVG,Vermilion Airport;Vermilion#Canada!North America
VEL,Vernal Airport;Vernal#United States!North America
YVE,Vernon Airport;Vernon#Canada!North America
VRB,Vero Beach Municipal Airport;Vero Beach#United States!North America
VRN,Verona Villafranca Airport;Verona#Italy!Europe
VRS,Versailles Airport;Versailles#United States!North America
VEY,Vestmannaeyjar Airport;Vestmannaeyjar#Iceland!Europe
VIC,Vicenza Airport;Vicenza#Italy!Europe
VCH,Vichadero Airport;Vichadero#Uruguay!South America
VHY,Charmeil Airport;Vichy#France!Europe
VIH,Rolla National Airport;Vichy#United States!North America
VKS,Vicksburg Airport;Vicksburg#United States!North America
YYJ,Victoria International Airport;Victoria#Canada!North America
YWH,Victoria Inner Harbour Airport;Victoria#Canada!North America
VTA,Victoria Airport;Victoria#Honduras!Central America
ZIC,Victoria Airport;Victoria#Chile!South America
VCT,County-Foster Airport;Victoria#United States!North America
VFA,Victoria Falls Airport;Victoria Falls#Zimbabwe!Africa
VCD,Victoria River Downs Airport;Victoria River Downs#Australia!Oceania
VCV,Southern California Logistics Airport;Victorville#United States!North America
VDI,Vidalia Municipal Airport;Vidalia#United States!North America
VIA,Videira Airport;Videira#Brazil!South America
VID,Vidin Airport;Vidin#Bulgaria!Europe
VDM,Gobernador Edgardo Castello Airport;Viedma#Argentina!South America
VNG,Viengxay Airport;Viengxay#Lao People's Democratic Republic!Asia
VIE,Vienna International Airport;Vienna#Austria!Europe
VTE,Wattay International Airport;Vientiane#Lao People's Democratic Republic!Asia
VQS,Antonio Rivera Rodriguez Airport;Vieques#Puerto Rico!Caribbean
VIF,Vieste Heliport;Vieste#Italy!Europe
VCB,View Cove Airport;View Cove#United States!North America
VGO,Vigo Airport;Vigo#Spain and Canary Islands!Europe
VGA,Vijayawada Airport;Vijayawada#India!Asia
VHO,Vila Coutinho Airport;Vila Coutinho#Mozambique!Africa
VRL,Vila Real Airport;Vila Real#Portugal!Europe
VLP,Vila Rica Municipal Airport;Vila Rica#Brazil!South America
VNX,Vilanculos Airport;Vilanculos#Mozambique!Africa
VHM,Vilhelmina Airport;Vilhelmina#Sweden!Europe
BVH,Vilhena Airport;Vilhena#Brazil!South America
VIB,Villa Constitucion Airport;Villa Constitucion#Mexico!North America
VIY,Villa Coublay Airport;Villa Coublay#France!Europe
VDR,Villa Dolores Airport;Villa Dolores#Argentina!South America
VGZ,Villa Garzon Airport;Villa Garzon#Colombia!South America
VLG,Villa Gesell Airport;Villa Gesell#Argentina!South America
VME,Villa Reynolds Airport;Villa Mercedes#Argentina!South America
VSA,Carlos Rovirosa Perez International Airport;Villahermosa#Mexico!North America
VLM,Villamontes Airport;Villamontes#Bolivia!South America
VVC,La Vanguardia Airport;Villavicencio#Colombia!South America
VNO,Vilnius International Airport;Vilnius#Lithuania!Europe
VYI,Vilyuysk Airport;Vilyuysk#Russian Federation!Europe
KNA,Vina del Mar Airport;Vina del Mar#Chile!South America
OEA,Oneal Airport;Vincennes#United States!North America
VII,Vinh Airport;Vinh City#Viet Nam!Asia
XVL,Vin Long Airport;Vinh Long#Viet Nam!Asia
VIN,Havryshivka Vinnytsia International Airport;Vinnytsia#Ukraine!Europe
VPG,Vipingo Airport;Vipingo#Kenya!Africa
VIQ,Viqueque Airport;Viqueque#Indonesia!Asia
VRC,Virac Airport;Virac#Philippines!Asia
VIJ,Virgin Gorda Airport;Virgin Gorda#British Virgin Islands!Caribbean
VIU,Viru Harbour Airstrip;Viru#Solomon Islands!Oceania
VIS,Visalia Municipal Airport;Visalia#United States!North America
VBY,Visby Airport;Visby#Sweden!Europe
VSE,Viseu Airport;Viseu#Portugal!Europe
VTZ,Vishakhapatnam Airport;Vishakhapatnam#India!Asia
VTB,Vitebsk Airport;Vitebsk#Belarus!Europe
VIX,Eurico de Aguiar Salles Airport;Vitoria#Brazil!South America
VIT,Vitoria Airport;Vitoria#Spain and Canary Islands!Europe
VDC,Vitoria Da Conquista Airport;Vitoria Da Conquista#Brazil!South America
VTL,Vittel Airport;Vittel#France!Europe
VIV,Vivigani Airport;Vivigani#Papua New Guinea!Asia
OGZ,Vladikavkaz Airport;Vladikavkaz#Russian Federation!Europe
VVO,Vladivostok International Airport;Vladivostok#Russian Federation!Europe
VOH,Vohemar Airport;Vohemar#Madagascar!Africa
VOI,Voinjama Airport;Voinjama#Liberia!Africa
SKS,Vojens Airport;Vojens#Denmark!Europe
VLK,Volgodonsk Airport;Volgodonsk#Russian Federation!Europe
VOG,Volgograd International Airport;Volgograd#Russian Federation!Europe
VGD,Vologda Airport;Vologda#Russian Federation!Europe
VOL,Nea Anchialos Airport;Volos#Greece!Europe
VPN,Vopnafjordur Airport;Vopnafjordur#Iceland!Europe
VKT,Vorkuta Airport;Vorkuta#Russian Federation!Europe
VOZ,Voronezh Airport;Voronezh#Russian Federation!Europe
VOT,Votuporanga Airport;Votuporanga#Brazil!South America
VRE,Vredendal Airport;Vredendal#South Africa!Africa
VRU,Vryburg Airport;Vryburg#South Africa!Africa
VYD,Vryheid Airport;Vryheid#South Africa!Africa
