iata,name;city#countryName!regionName
KNW,New Stuyahok Airport;New Stuyahok#United States!North America
MHH,Marsh Harbour International Airport;Marsh Harbour#Bahamas!Caribbean
ZKG,Kegaska Airport;Kegaska#Canada!North America
XCH,Christmas Island Airport;Christmas Island#Christmas Island!Oceania
AHE,Ahe Airport;Ahe#French Polynesia!Oceania
ABV,Nnamdi Azikiwe International Airport;Abuja#Nigeria!Africa
WLP,West Angelas Airport;West Angelas#Australia!Oceania
DIR,Aba Tenna D Yilma Airport;Dire Dawa#Ethiopia!Africa
CMF,Chambery Airport;Chambery#France!Europe
PER,Perth Airport;Perth#Australia!Oceania
EDR,Edward River Airport;Edward River#Australia!Oceania
TSM,Taos Airport;Taos#United States!North America
GUP,Gallup Municipal Airport;Gallup#United States!North America
ORL,Orlando Executive Airport;Orlando#United States!North America
SFO,San Francisco International Airport;San Francisco#United States!North America
SAF,Santa Fe Municipal Airport;Santa Fe#United States!North America
CYS,Cheyenne Regional Airport;Cheyenne#United States!North America
ROW,Roswell International Air Center;Roswell#United States!North America
FMN,Four Corners Regional Airport;Farmington#United States!North America
ABQ,Albuquerque International Sunport;Albuquerque#United States!North America
CVN,Clovis Municipal Airport;Clovis#United States!North America
LAR,General Brees Field;Laramie#United States!North America
INT,Smith-Reynolds Airport;Winston-Salem#United States!North America
KUL,Kuala Lumpur International Airport;Kuala Lumpur#Malaysia!Asia
AST,Astoria Airport;Astoria#United States!North America
ERS,Eros Airport;Windhoek#Namibia!Africa
HOR,Horta Airport;Horta (Azores)#Portugal!Europe
ASB,Ashgabat Airport;Ashgabat#Turkmenistan!Asia
PBO,Paraburdoo Airport;Paraburdoo#Australia!Oceania
PXM,Puerto Escondido Airport;Puerto Escondido#Mexico!North America
IAS,Iasi Airport;Iasi#Romania!Europe
JED,King Abdulaziz International Airport;Jeddah#Saudi Arabia!Middle East
ROA,Roanoke-Blacksburg Regional Airport;Roanoke#United States!North America
CEI,Chiang Rai International Airport;Chiang Rai#Thailand!Asia
MLE,Male International Airport;Male#Maldives!Asia
ABR,Aberdeen Municipal Airport;Aberdeen#United States!North America
HYS,Hays Municipal Airport;Hays#United States!North America
YEK,Arviat Airport;Arviat#Canada!North America
IRJ,La Rioja Airport;La Rioja#Argentina!South America
CTG,Rafael Nunez International Airport;Cartagena#Colombia!South America
MKK,Molokai Airport;Hoolehua#United States!North America
CUZ,Alejandro Velasco Astete International Airport;Cuzco#Peru!South America
PVR,Gustavo Diaz Ordaz International Airport;Puerto Vallarta#Mexico!North America
ULN,Chinggis Khaan International Airport;Ulaanbaatar#Mongolia!Asia
WBQ,Beaver Airport;Beaver#United States!North America
DAX,Daxian Airport;Daxian#China!Asia
RKS,Rock Springs-Sweetwater County Airport;Rock Springs#United States!North America
SLY,Salekhard Airport;Salekhard#Russian Federation!Europe
SDP,Sand Point Municipal Airport;Sand Point#United States!North America
HEA,Herat International Airport;Herat#Afghanistan!Asia
IXL,Leh Airport;Leh#India!Asia
MHP,Minsk International 1 Airport;Minsk#Belarus!Europe
MTT,Minatitlan Airport;Minatitlan#Mexico!North America
IWD,Gogebic County Airport;Ironwood#United States!North America
BBB,Benson Municipal Airport;Benson#United States!North America
MFF,Moanda Airport;Moanda#Gabon!Africa
AEG,Aek Godang Airport;South Tapanuli Regency#Indonesia!Asia
WFI,Fianarantsoa Airport;Fianarantsoa#Madagascar!Africa
MEQ,Seunagan Airport;Meulaboh#Indonesia!Asia
SCK,Stockton Airport;Stockton#United States!North America
TOB,Tobruk Airport;Tobruk#Libya!Africa
PED,Pardubice Airport;Pardubice#Czech Republic!Europe
OLJ,West Cost Santo Airport;Olpoi#Vanuatu!Oceania
MOB,Mobile Regional Airport;Mobile#United States!North America
PEZ,Penza Airport;Penza#Russian Federation!Europe
HZH,Liping Airport;Liping#China!Asia
DWC,Dubai World Central - Al Maktoum International Airport;Dubai#United Arab Emirates!Middle East
EKS,Shakhtyorsk Airport;Shakhtyorsk#Russian Federation!Europe
PQI,Presque Isle Municipal Airport;Presque Isle#United States!North America
LBV,Libreville Airport;Libreville#Gabon!Africa
CBQ,Calabar Airport;Calabar#Nigeria!Africa
CIU,Chippewa County Airport;Sault Ste. Marie#United States!North America
YKA,Kamloops Airport;Kamloops#Canada!North America
CVM,Ciudad Victoria Airport;Ciudad Victoria#Mexico!North America
MAS,Momote Airport;Manus Island#Papua New Guinea!Asia
