iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
CPF,Cepu Airport,Cepu,Indonesia,Asia,7,-7.15,111.583333
MGG,Margarima Airport,Margarima,Papua New Guinea,Asia,10,-6.033333,143.366667
MGO,Manega Airport,Manega,Gabon,Africa,1,-1.733333,10.216667
MGP,Manga Airport,Manga,Papua New Guinea,Asia,10,-4.033333,152.966667
MGY,Montgomery County Airport,Dayton,United States,North America,-4,39.933333,-84.254444
MHF,Morichal Airport,Morichal,Colombia,South America,-5,2.15,-70.583333
MHI,Musha Airport,Musha,Djibouti,Africa,3,11,43
MHJ,Misrak Gashamo Airport,Misrak Gashamo,Ethiopia,Africa,3,8.133333,45.283333
MIH,Mitchell Plateau Airport,Mitchell Plateau,Australia,Oceania,8,-26.483333,147.966667
MIX,Miriti Airport,Miriti,Colombia,South America,-5,-6.25,-59
MIZ,Mainoru Airport,Mainoru,Australia,Oceania,9.5,-14,134.1
MJG,Mayajigua Airport,Mayajigua,Cuba,Caribbean,-4,21.758333,-79
MJJ,Moki Airport,Moki,Papua New Guinea,Asia,10,-5.7,145.25
MJO,Mount Etjo Lodge Airport,Mount Etjo Lodge,Namibia,Africa,1,-21.018333,16.469167
MKV,Mt. Cavenagh Airport,Mount Cavenagh,Australia,Oceania,9.5,-25.966667,133.25
MMQ,Mbala Airport,Mbala,Zambia,Africa,2,-8.857222,31.336111
MND,Medina Airport,Medina,Colombia,South America,-5,4.516667,-73.283333
MNE,Mungerannie Airport,Mungerannie,Australia,Oceania,9.5,-28,138.6
MNK,Maiana Airport,Maiana,Kiribati,Oceania,12,1,173
MNV,Mountain Valley Airport,Mountain Valley,Australia,Oceania,9.5,-14.116667,133.833333
MNW,Macdonald Downs Airport,Macdonald Downs,Australia,Oceania,9.5,-22.45,135.216667
MOJ,Moengo Airport,Moengo,Suriname,South America,-3,5.75,-54.333333
MOK,Mankono Airport,Mankono,Cote d'Ivoire,Africa,0,8.016667,-6.15
MOS,Moses Point Intermediate Airport,Moses Point,United States,North America,-8,64.695556,-162.043333
MQI,Quincy Airport,Quincy,United States,North America,-4,42.25,-71
MOY,Monterrey Airport,Monterrey,Colombia,South America,-5,4.884167,-72.895278
